"I have very unclear roles and responsibilities. Because the office I work for has to adapt to a different company directive every few months (through these things called ""resets""), my roles and responsibilities are constantly in fluctuation, changing on a whim and influenced by an unclear product roadmap. Therefore, because my roles and responsibilities are not steadfast and do not allow me to consistently contribute to a company goal, they are unclear and thus unsatisfactory. I have had to deal with this ambiguity surrounding roles and responsibilities for one year, which is absurdly too long.

This is not a reflection on the competency of my direct manager or my team, but a reflection on company directive (my direct manager is very good at what he does and my peers are adept).",role not well defined
My role need to be clarified in this changing environnement,role not well defined
With all of the organizational changes my role and responsibilities are unclear.,role not well defined
"Letting this mature to see if I should have a conversation w my manager, or if the issue is on my end",role not well defined
"The only thing I'm unsatisfied with is the uncertainty with the new reset, and how that affects my role on the team",role not well defined
They are unclear and heading in the wrong direction.,role not well defined
Technical responsibilities are not clear within the team.,role not well defined
No clarity around goals and or KPI's,role not well defined
I am currently in the process of transitioning to the marketing community team. So my roles and responsibilities are split and juggling two different worlds has been somewhat stressful.,role not well defined
Once I promoted I am not seeing any change of responsibilities. That is a little concern to me.,role not well defined
Not clear,role not well defined
Clearly define team roles and responsibilities.,role not well defined
"Need of clear job expectations, what is expected from me on the LT.",role not well defined
"A lack of clarity with strategic projects and resourcing, currently.",role not well defined
should have a clearer vision where we are going and guidelines and targets.,role not well defined
This something that really need to be clarify,role not well defined
I don't know what to do next,role not well defined
"Currently there's a substantial lack of clarity about what we're going to be working on in the coming months, and a strong feeling of underutilization among my peers. I'm making the best of it and taking the opportunity to learn new things and develop my skills, but not everyone is as patient as I am. Just waiting for this to get ironed out and hoping H2 brings good things. :)","role not well defined, feels underutilized"
Not 100% what my role is still (I know the team is working on defining roles) but not as thrilled with the work I'm assigned. Feels entry-level when I'm an experienced professional.,"role not well defined, feels underutilized"
I am between roles at the moment - so it is just a little hectic and I feel split. I just hate to only give half of me to a team or project. Come October I'll be 5 stars all day every day! :),"role not well defined, temporary"
Team is a bit stagnant.  Future projects look promising.,team
"i think I'm just having a bad week, so this is just how I feel right now.",temporary
"It has been a much better week than last week, as I was proactive about better understanding and clarifying my role with my manager.",temporary
There's a light at the end of the tunnel and soon this will be 5 starts.,temporary
"We are all still trying to make many aspects of our role as efficient as possible, once we get accomplish this I believe I will be able to work on more challenging aspects of our role.",temporary
Just a frustrating week of trying to work through a lot of seemingly unnecessary issues.,temporary
"Comfortable with overarching responsibilities, but being proactive to gain more integration involvement with brands early in the planning  programming process vs. a bolt on at the end",too many responsibilities
"The number of responsibilities seems pretty high with such short deadlines. As long as responsibilities are prioritized and everyone is aware of why some things are taking longer to get to, then it shouldn't be a problem",too many responsibilities
I'm not a fan of the workload,too many responsibilities
I struggle with too many meetings.  We as engineers need thinking time too.,too much admin work
I am regularly speaking to my manager about the lack of cross training and development but nothing is done.,training
Need technical frontend project manager for Batman team. We are drowning with work and there is barely any time to breathe eat pee.,understaffed
I need team support on one of the marketing initiatives,understaffed
need more staff.,understaffed
At times I feel overwhelmed and concerned that the quality of my work may not be the best possible because I am spread too thin. As our headcount of associates continues to grow I hope that our team can continue to grow as our associate headcount increase.,understaffed
"until we have some of the open roles filled, i feel spread thin",understaffed
"It's difficult doing half of the OM job and I feel a little all over the place with those things, but I know this is only temporary.",understaffed
Lots of administrative stuff right now covering part of the OM role. Not enough time for strategic projects.,understaffed
I want to have more tasks and responsibilitys,Wants more responsibilities
I can take on more roles and responsibilities,wants more responsibilities
my brain craves more challenge,wants more responsibilities
I can do more,wants more responsibilities
I'm able to take more responsibilities if required,Wants more responsibilities
I can do more,Wants more responsibilities
I would like to do more senior strategy work.,wants more responsibilities
Not challenged,wants more responsibilities
I'd like to take on more responsibility.,wants more responsibilities
haven't had much to do in past two weeks.,wants more responsibilities
Definetely not being utilized to fullest potential... and it's the same for those elsewhere in the office.,wants more responsibilities
Id like more responsibility,wants more responsibilities
I am ready for a bigger project that will have a large impact.,wants more responsibilities
Would like to take on more maybe?,wants more responsibilities
Wish I could be more busy. Work has been slow.,wants more responsibilities
"I would like to take on other projects and partner more with other teams, in order to feel more impactful and integrated into other aspects of the company. On the flip side, I will say that I feel valued and validated for what I bring to the company.",wants more responsibilities
I believe I'm in a stage where I can expand my role and responsibilities beyond simply supporting finance data.,wants more responsibilities
My skills should be put to use.,wants more responsibilities
Lack of trust in our potential or ignorance about our skills.,wants more responsibilities
"Although I find the architectural design portions of my job engaging, I find myself trying to replace job satisfaction with job intensity.  Before company I was either starting businesses or helping businesses solve problems pertaining to their data.  I really enjoyed that and am trying to figure out a way to move in that direction.",wants more responsibilities
"Good in general, but sometimes, when you are unbooked you feel like you are at work for nothing.
Could be great to have some internal project (not especially for Emakina, but to solicit new client for example)",wants more responsibilities
"I do not think I am empowered, I am challenged but not empowered.",wants more responsibilities
"I am MISERABLE
I don't have any responsibilities
The work I do makes me feel dumb
I keep asking for more creativity but you give me infertiliy
I am literally making a layout for people not capable to put a screenshot on a powerpoint
The AD title feels like an empty title every 2days- It means nothing when I do intern work",wants more responsibilities
Maybe be more confident and give me more responsibilities?,wants more responsibilities
I would like more responsibility,wants more responsibilities
"Conceptually, I am satisfied with my roles and responsibilities. My tasks are important, and I feel that my personal involvement matters; however, sheer volume of work, as well as other factors noted in this survey, prevent me from dedicating the appropriate amount of time and energy to many items. I have been fortunate so far, but I constantly feel that it is only a matter of time until something major goes wrong.",workload
sometimes it feels like too much,workload
could off load some of the tier 1 type stuff to another team like the Help Desk to free me up to work on more team critical project based work.,workload
Managing a release everyday is really taxing.  Started to ask brian to help,workload
Too much to do on too little resource,workload
More realistic workload allocations needed.,workload allocation
Work tasks is not distributed among the team of 2 properly. The other guy works remotely at home everyday.  His role is not at all helpful to the team.,workload allocation
Work allocation needs to be re-evaluated.,workload allocation
"I love what I do very much, but I'm not sure if there are any opportunities of growth within my position.",worried about opportunities for growth
This isn't something my manager can fix; there just isn't room to grow within the company right now. I've done my job well enough that the rest of the team can take it from here.,worried about opportunities for growth
"I still feel like I'm a bit lost. I sort of understood why my management responsibilities were stripped a few months ago but I'm puzzled as to why I haven't been given the option to regain my former role. I feel like Swetak and I were making good progress and Victoria was just getting her ""legs"" under her.",worried about opportunities for growth
I am always looking to further my career; to gain more responsibility and diversity in my role. More clarity on the development of my career would be great.,worried about opportunities for growth
I am satisfied with my roles and responsibilities but would like to have conversations on how to move up in my team.,worried about opportunities for growth
Could do with a bit of career mapping,worried about opportunities for growth
