The on-site team is amazing! Working with our peers and other FC's is difficult.,happy with team
I am new to the company so still quite a few people to meet and interact with. So far though impressions very good and the team is friendly and helpful,happy with team
They are a great team,happy with team
People are nice.,happy with team
I work with a great bunch.,happy with team
feel decent with my direct team but other teams within hr are very difficult to work with.,issue with other teams
"Within the team I work we get on well. However, I have experienced some frictions with other teams outside of Stoke. In particular, I've recently experienced a situation where another team made criticisms of my team which resulted in some we wished to do being blocked. It was unclear whether this other team had the authority or responsibility to do this. Being fairly new to the company there definitely feels like a Stoke-London thing!",issue with other teams
Local yes. International frustrations,issue with other teams
"This ultimately depends on how you define 'team'. All of the people who report to my same manager are excellent. From a communication standpoint, it's probably the best team I have ever been on in my professional life. Project teams, however, are a different story. Project management in general needs to take a more heavy-handed approach in the process.",issue with other teams
There's no interacting between most colleagues...,not enough interaction
"Honestly, I do scant little with members of my immediate team. As far as interaction goes, this team does have a good dynamic, but we are all on different projects, so much of my work is conducted with members of other teams and with different departments.",not enough interaction
"This is not an environment where you are open to interact with your colleagues. Somehow, instead of getting better, it continues to spiral downward.",not enough interaction
I feel like i got isolated.,not enough interaction
"We have a good relationship in our team, we should try to hang out more, with Friday breakfast or even a short weekly standup (1min per pers).",not enough interaction
need more team events,not enough interaction
Take more action in interaction between coworkers.,not enough interaction
"See above. It's challenging, as you never know where you stand, and a large percentage of colleagues don't do a great job of working together.",some colleagues not pulling weight
"It can be better, considering that only 3 people from the whole team always do most of the work",some colleagues not pulling weight
there are recruiters on the TA team that are not team players. they do not contribute to the team's success and put their own success first.,some colleagues not pulling weight
"I love our team, but I can tell people are definitely stressed and somewhat demoralized by the new office work hours policy. I've also noticed more people are out sick more often, whereas before they might have just WFH through their illness. I think productivity is actually suffering.",stress over new policy
"I don't understand the big push from Nach and Mudy to split the team. We have awesome collaboration with LA so I don't understand at all what they're trying to do ... considering they are not involved at all with the team, they don't participate to DSM, desing meeting and grooming how can they complain if they don't participate.

Let the developers decide how they want to work, we're people ... not resources on a spreadsheet.",stress over new policy
I really do not like seeing a brand new manager came in and wanted or suggest to split the team we put together for 2 years now. A team that works pretty well together. I don't like how this was proposed and communicate at all.,stress over new policy
lets do more outside work stuff all together,team building
"I love our team, but we need a morale booster. I think everyone is under high stress and we could benefit from some bonding.",team building
its time for team building and some extra out of the office hours time,team building
I mainly interact with the colleagues in the infra's because they are related to my work.  I have a good working relationship with my chef and one collegue (expert) I work with.  My other colleagues are very friendly but I don't work together with them.,team building
"Excellent sphere at the customer's, and also excellent sphere with Greenfish colleagues when we have contact. Would be nice to have more contacts with Greenfish colleagues but...there are only 24h in one day ;-)",teambuilding
Not enough technical skills. It will grows through future projects.,teammate competence
There is too often unnecessary tensions,tension
"Comments like ""if you don't have any opinion, you have idea on what is going on"" or ""I wouldn't have hired several people in this team"" tends to be off putting. When attempting to use the resources we do have. Also, deadlines seems to be a very fluid concept to some teammates.",tension
"There are sometimes some friction during code reviews. The conversation is still friendly, but it seems that not everybody on the team has the same acceptable level of code quality and clean code. Should we define together a team standard?",tension
some people are to abrasive,tension
I feel that there is a lack of trust amongst each others,trust
leadership offsite was great but reminded me of the fact that i really do not want to be on the same team as some of my peers and can not rebuild any trust in them,trust
Developers don't seem to trust QA as much as they use to,trust
loss of trust,trust
I sometimes feel that my teammates with more experience doubt my abilities. I plan to speak with my manager about this and see if there's something I can do to improve this.,trust
I want to get more help and support from them side regarding the new jobe,wants support
They are not supportive at all,wants support
Sometimes it is difficult to get the support we need from Hoboken.,wants support
"Sometimes yes, sometimes no ! This week was really weird, and not especially fun. For some reason I was stuck (technical issue) and nobody (Expert) to help me. So what I'm supposed to do, spend 3 days on a ticket because nobody want to give me an advice ? I don't think that the customer will appreciate it !",wants support
I feel a little like I'm letting my frustration filter out to my team. I'm working through how to get my work done effectively while also managing my team and making sure all of that is running smoothly.,workload
