Last-minute travel is hard,scheduling
"I feel like we have gone from an extremely healthy work life balance to a mandated attendance policy, but there has been no change in expectation of working off hours and 24 7 support. This has decreased my ability to see my children 10 fold.",scheduling
I'm still trying to figure out our vacation policy. Now we have been asked to come into the office 5 days a week. On days where I would normally work from home I would now need to take a vacation day. I have no backup which means I have always been asked to be available on vacation days. Now we are monitoring vacation days even though the company policy states Managers have unlimited vacation. I'm extremely confused about how to handle this.,scheduling
Requests are made after business hours and on weekends with the expectation of having assignments completed outside of work hours.,scheduling
"Life was so good earlier with a 3 day office week. Now, the good is taken out and only life remains.
Earlier it was LIfe for work and not, it is just work. Need to spend more time with family. The change of rule has taken away so much from our lives.",scheduling
"It has been hard to adjust to the new work schedule.  They'v have taken away a great benefit from us and in return we've received free lunch of Wednesdays.  Also, we know that many other groups outside of IT have work from home day on Fridays.  However, the IT group is being punished.","scheduling , incentives"
"This week has been rough, with late nights in the office, lots of meetings, new projects, and terrible morning traffic for the commute.","scheduling, commute"
Need less stress on getting to the office at a particular time. It's very stressful. I'm not sure how I can balance this expectation with my current work load. It's grating at the moment.,"scheduling, work load"
Crazy but good week with on-boardings,temporary
Working on making this better!,temporary
I consider this temporary and necessary.  No complains,temporary
Tough week of changes.,temporary
"DOUREEUUU - make me feel tired ;) but was cool to do.
I was blast to be part of this.",temporary
Just a chaotic week. Lessons learned!,temporary
Really busy past few weeks and it's going to be really busy for a few more.  It's the nature of the job.  Averaged over the year my work life balance is pretty decent.,temporary
It's just a nature of the work cycle. First week of the month is always too busy.,temporary
"This week no work life balance, but it's part of the role ;)",temporary
This week was just very very busy with many project kicking off and a lot of reporting needed at once. Its just that time of year.,temporary
"This week had a specific event that caused some of us to have to work additional hours beyond the scope of the regular day. Hopefully, this is a one-time few-time type event and will not happen again. Since this in regards to my current week, it has factored into my thought about work life balance.",temporary
Temporary issue :),temporary
It is better this week.,temporary
need human cloning capabilities,understaffed
"need another project manager or something, or a LatAm sales rep.",understaffed
we need to more people to support team,understaffed
Lately I feel like it's gotten harder. Our growth is outpacing our hiring.,understaffed
we are still very understaffed. but i am really trying my hardest to keep to the no email after 7pm policy and it's helping,understaffed
"As the on-call (so much for anonymity) in Seattle, work-life balance suffers for that week.  With all the attrition, the rotation is that much shorter--one week in seven is a HUGE difference from one week in fourteen...",understaffed
We need to be staffed better in HR. It gets overwhelming the demand and it makes us feel like we can never unplug.,understaffed
"My team is not large enough to field the volume of work coming in, and the work doesn't do itself. Unless I am misunderstanding Rapino's Q2 update, the company is doing quite well, which leads me to wonder why we are so shorthanded.",understaffed
too small a team too much to do,understaffed
Its nothing that anyone can really do until we hire people and are appropriately staffed.,understaffed
"I'm handling two positions right now, so that consumes a lot of time and effort",understaffed
Hire more people to help out in the new technology stack.,understaffed
"As someone who never abused working from home, I find it pretty backward that my manager responds in an antagonistic manner when I need a day out of the office.",WFH
Regular teleworking (1d week),WFH
"Things move so rapidly. If you are not involved morning, noon and night, you will fall behind.",work load
Workload not fair,work load
7PM or later isn't easy,work load
Too much work,work load
"launching stuff and planning stuff all at the same time is hard. that's ok, though - it's why this job is fun!",work load
"We work long hours, but there is very little we can do outside of work ...",work load
"Just a lot going on, but that is what I signed up for!",work load
It's 9:30 pm and I'm still working.,work load
Excessive workload,work load
This week has required a lot of extra time.,work load
"No, I just have a lot of things going on right now so I feel a bit overwhelmed at times.",work load
"The hours we need to work definitely aren't as bad as they used to be, but they're still pretty bad.",work load
Too much work and no life.,work load
I haven't sleep much lately,work load
Currently covering off on way too many clients to be able to maintain a healthy balance.,work load
Too much to do...Calgon,work load
Feeling overwhelmed with the amount of work this week,work load
I think it can be pretty difficult to maintain a healthy work life balance and be a top performer. You could clearly see the top performing AE's were working 2-4 hrs a day more than the other AE's who didn't meet their goal.,work load
A lot of super late hours and overtime this week with impending responsibilities.,work load
i do force myself to enjoy myself outside of work but i am so stressed that i will miss my number or will get left behind that my heart drops when i remember that i haven't done anything for work on the weekend.,work load
I don't have time to take these types of surveys,work load
I've been working until 2AM for the past 2 days.,work load
JBR weeks where Flash acts up leave me physically drained. I will work with my team to automate away our workload and work with Flash to get more reliability from them.,work load
Many many late nights.,work load
"At office for long hours, team rarely takes lunch.",work load
Too much work last week!,work load
workload is heel hoog,work load
Work at night and week end for 7 weeks in a row,work load
"12 hour workdays have become the light ones. The past couple have been more like 18. My outstanding concern with this is the physical toll it takes on me, and I suspect some of my teammates' bodies. Not sure what could be done to solve for this. Better health insurance? Napping rooms? A raise?

All jokes aside I want to be constructive, but think it's fair to just state the affairs. Appreciating the anonymity here as I wouldn't want this interpreted as a complaint. Just some concern over feeling unable to address my basic needs in lieu of work demands.

Thanks for checking in. I appreciate the initiative taken by this platform.","work load, incentives"
Teams are still overworked and much of this comes from the swirl that comes from so many inputs and decision makers. We spend way too much time shopping work internally than actually doing and moving the work.  It's exhausting and unproductive.,"work load, inefficiency"
workloads are still too heavy and a lot of this comes from re-working and re-working the same work,"work load, inefficiency"
I have been working up to late in the night since 2 months ago in order to complete all the non-properly planned projects (PCI and SOC2),"work load, inefficiency"
"We have more projects than ever, and I am busier than ever, with a lot of personal (at home) responsibilities right now.","work load, personal"
Lots currently on my plate,"work load, temporary"
"I was working a quite a bit over 40 hours a week in prior weeks due to recent staffing changes.  This week though, I am going on my third sixteen hour day.  I do have help and this is an emergency.  I don't really see any alternative but I thought I should be honest here that my life work balance is seriously out of whack.  Can someone bribe my wife? lol","work load, temporary"
too much work load and no additional resource added to the team though the responsibilities of the team has increased,"work load, understaffed"
