"The ""healthy"" snacks that facilities team leaves out are full of salt of sugar. Fruit like apples and bananas would make us feel better throughout the day, is probably cheaper, and would avoid a late afternoon crash. Overall, I'm disappointed with the food situation in Hollywood. The neighborhood is a dump and there are no good options without driving. Can't go anywhere good because meetings are back to back. A 1-hour lunch is a luxury.",food
It's a bit messy for the moment.  Let's organize a clean-up session ;-),Messy
Cleaner kitchen & bathroom would help,messy
"the new improvements to the office have been great, but can we all agree to keep it nice? the chairs are a mess, there are boards everywhere, the conference rooms are a disaster.  Cluttered space equals cluttered mind.  We need to keep this floor really nice.",messy
"There is too much noise in the office. It is constant and extremely disruptive. A prime example is the daily standups held by my immediate neighbors. Those meetings need to be held on Zoom with headphones, in an empty office, or a conference room.",noise
sometimes the office is too loud.,noise
Office can be too noisy and distracting. Hopefully with the additions space this will not be as big of an issue,noise
Too much noise and too many fire drills right now! :),noise
"There is too much noise, and The lights are enoying",noise
To mush noise !,noise
"walls! and a door! to keep noise out, so I can concentrate and do my job.",noise
First floor is really noisy,noise
It can be really loud at times which makes it difficult to focus.,noise
Office can be a bit loud when everyone is talking and some of the tools have poor performance making it take longer to do my job.,noise
"TOO NOISEY, TOO LOUD",noise
It's way too loud here,noise
I perform at my best when I have more privacy and quiet space.,noise
"sometimes it's difficult to do conference calls from my desk if others around me are also on different calls, and the noise levels get a little high.",noise
The ergonomics is a joke. And the environment is the wrong kind of noisy.,noise
"Noise in my area is constant. The current fix is classical music and some earbuds, but I'll likely step it up to noise-cancelling headphones.",noise
Stop that guy from whistling on our floor.  It's so freaking distracting.,"noise, distractions"
"Too loud, too crowded.

The service door needs a direct line to the front desk.  VERY DISTRACTING to have people knocking all day while I am working.","noise, space, distracting"
I dislike having an open work space. I have to stare at my desk neighbor all day long.,office layout
Az open office nem segíti a nyugodt munkát. Néhány fal jól jönne.,office layout
"I do not like the location of my desk in the open floor plan. I have too many people walking past me, and making random conversation literally over my shoulder. It is a huge distraction with trying to concentrate on work tasks, and reading.",office layout
Open office = booooooooooooo,office layout
The open plan thing still sucks.,office layout
"Mixed feelings on floor plan. Because of the request to be quiet, I feel like I have to speak less and more softly than before",office layout
Same comment as last week. In the Quebec (US side) office we could probably do something at a fairly low cost to help the team cohesion and communication. An idea would be to remove some of the partitions and reposition reconfigure the desks in order to help with this.,office layout
Would be nice to sit next to the developers and designers I work with,office layout
Conference rooms or lack thereof.,office layout
"Same comment as the previous weeks. 1st step short term low budget: Remove the partitions and re-arrange the desks to help communication and teamwork. Step 2 longer term, invest in the Quebec office space(or move?) to bring it up to par with the competing companies in Quebec in order to be able to attract top talent.",office layout
"I think once our office floor is renovated and has better layout with newer cubicles, etc... we will have a better work environment which will help us perform at our best.",office layout
i dont like my cube mate but i dont want to move again,office layout
"Not having an office is a challenge because I have lots of calls and meetings.  Also, I've had to deal with an increasing number of team morale personnel issues since we adopted the new office schedule, so having an office would be helpful to have those impromptu meetings and private conversations.",office layout
Could use a bit larger cubicle,office layout
I have no windows in my office and I can't hang or tape any art to the wall. This is sad. :(,office layout
"The seating arrangements close proximity can make it difficult to focus or speak to members. We're constantly squeezing past each other bumping into each other, and members always comment on how loud it is or that it sounds like we're having a party.",office layout
Same comment as usual concerning the office space and layout in the Quebec Office.,office layout
Get us out of the sardine can!!! :),space
Too dark,space
I base this off of the fact that there is no real natural light where I sit. I personally work better in a more open environment.,space
"We need more space! I understand that it's going to get tighter with the move from 1540, we'll have to start getting creative.",space
It would be great to have more conference rooms. Not practical to be working with only the Loft and the Boardroom until we move to Brooklyn.,space
"too packed, too noisy, too stale","space, noise"
"Too crowded, the wifi is bad, too hot, too noisey","space, noise, temperature"
Too warm and not enough air,temperature
we don't have any window. It can be realy too warm in the office,temperature
Always too hot and smelly,temperature
too hot,temperature
"To hot or to cold, we never had the right temperature in our offices",temperature
it's sometimes too warm in the office and we have nothing to change that,temperature
It's allways too warm in the office !,temperature
Temprature is to high...,temperature
Too hot,temperature
Air-co??,temperature
"It's way too hot or too cold, been like that for a long long time.",temperature
Chaud.,temperature
"too hot in the local, feeling of suffocation",temperature
